;Delta;Theta;Low Alpha;High Alpha;Low Beta;High Beta;Low Gamma;Middle Gamma
325;24905;36761;2729;2510;2940;2202;1703;610
326;1034933;79535;55786;11401;12512;6729;8336;1905
327;604588;110237;6404;39556;16342;8778;6617;20135
328;592256;892123;56774;68193;68829;40854;19139;25678
329;51369;10863;2782;644;717;734;422;1478
330;39078;14890;704;2157;4910;3579;2187;6280
331;2043242;1578338;87318;37937;45554;24844;21244;94205
332;1134211;32184;5031;5894;1910;6969;4196;6301
333;1328603;294842;215762;106199;27368;38331;70537;79032
334;1152011;249003;13520;14114;22700;18980;8814;12868
335;109020;17400;339;3484;2120;854;2148;1743
336;1649911;74904;6442;29028;44846;59521;10320;32651
337;334913;33848;5745;2084;1551;4623;946;8667
338;1072295;65625;5448;12432;8209;24337;5564;9808
339;323454;209994;29868;1520;19355;12814;3701;10986
340;125571;48519;12323;1476;3556;1503;2496;9544
341;655231;119272;8092;3751;9721;8536;5728;8770
342;655231;119272;8092;3751;9721;8536;5728;8770
343;869041;135405;19378;13940;16805;13065;8562;10445
344;1641492;270452;40676;39552;99351;44695;20584;34656
345;1010995;58686;33469;2773;8714;9912;8892;13284
346;999393;103572;13910;18935;6900;9674;2930;20861
347;999393;103572;13910;18935;6900;9674;2930;20861
348;483766;281766;4596;6717;9464;9149;6630;13398
349;1243549;295822;60863;48839;65125;24453;23323;237328
350;1243549;295822;60863;48839;65125;24453;23323;237328
351;698016;661154;181650;30880;62870;31412;19699;16054
352;1995621;61579;23589;23706;10830;16594;16259;2535
353;405531;220569;14906;17386;7728;9076;5538;1787
354;355594;47714;15524;2153;6824;2208;2666;1452
355;1972577;1728407;127155;52809;106808;99879;41984;8239
356;689677;74638;23372;9210;9824;14996;7386;3484
357;689677;74638;23372;9210;9824;14996;7386;3484
358;1431630;64364;19582;8958;19782;8993;10613;9814
359;2827566;1160556;107517;47529;35083;45100;34401;18726
360;899018;83488;22367;14113;12252;14619;4683;1954
361;606063;20287;2779;4929;5136;2904;1366;976
362;199218;140116;12221;14494;7767;14349;3322;4076
363;1192055;145237;55065;3948;4591;11600;8311;6237
364;1102242;285831;5014;10321;11594;8823;16188;10706
365;1085263;132687;40088;12180;12821;5777;4927;40460
366;150729;36557;5137;1653;1981;2883;1094;8576
367;85113;42367;2085;6624;1905;3178;811;3995
368;85113;42367;2085;6624;1905;3178;811;3995
369;937456;379491;244386;12700;32080;71650;25915;78912
370;188604;40783;5797;3405;1635;2989;5152;3542
371;372976;11196;2705;2867;1324;1578;1380;6545
372;987146;42838;26804;27810;17181;9606;5147;20588
373;1376402;123451;40856;11519;25553;17970;14996;69039
374;557607;119853;34945;18537;7977;7716;6422;4397
375;1182757;266952;47865;3930;11554;11694;8682;1443
376;1638783;55019;18405;20583;4371;8655;4972;2780
377;773570;699059;153050;90356;41821;23373;22346;22842
378;76643;5914;4318;8043;2873;2522;743;773
379;2389774;184205;30440;30283;23835;49949;16307;15736
380;2387416;814524;15339;42086;67655;99119;14245;29065
381;527429;19809;8014;2084;1453;3329;1965;5236
382;1593766;361122;98915;53529;56913;47636;19700;108045
383;127712;51286;12615;6459;2290;5817;3931;14194
384;541505;97143;24447;12178;25921;14604;11884;29978
385;884874;199027;42293;13668;19462;11675;4790;30137
386;816985;144787;24716;7627;8100;9740;4467;35322
387;451900;9479;13101;3168;3787;2517;1577;10711
388;1665777;256545;26404;15374;14987;21740;8969;43427
389;1795379;131028;32474;16693;21204;8731;19361;29603
390;118146;19004;28811;3169;5609;5453;2094;4282
391;109281;38873;43382;6576;2895;7963;2422;5509
392;1887260;1146216;97762;227328;226655;79726;67603;63638
393;173433;39331;13309;8127;8276;2645;962;5522
